LineId,Content,EventId,EventTemplate
21,Got assigned task 0,16,Got assigned task <:NUM:>
22,Got assigned task 1,16,Got assigned task <:NUM:>
23,Got assigned task 2,16,Got assigned task <:NUM:>
24,Got assigned task 3,16,Got assigned task <:NUM:>
25,Running task 0.0 in stage 0.0 (TID 0),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
26,Running task 2.0 in stage 0.0 (TID 2),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
27,Running task 1.0 in stage 0.0 (TID 1),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
28,Running task 3.0 in stage 0.0 (TID 3),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
29,Got assigned task 4,16,Got assigned task <:NUM:>
30,Running task 4.0 in stage 0.0 (TID 4),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
31,Started reading broadcast variable 9,18,Started reading broadcast variable <:NUM:>
32,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
33,Reading broadcast variable 9 took 160 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
34,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
35,"Partition rdd_2_1 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
36,"Partition rdd_2_3 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
37,"Partition rdd_2_0 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
38,"Partition rdd_2_2 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
39,"Partition rdd_2_4 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
40,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,23,Input split: hdfs://<:IP:>:<:NUM:>/pjhe/logs/2kSOSP.log:<:NUM:>+<:NUM:>
41,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,23,Input split: hdfs://<:IP:>:<:NUM:>/pjhe/logs/2kSOSP.log:<:NUM:>+<:NUM:>
42,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,23,Input split: hdfs://<:IP:>:<:NUM:>/pjhe/logs/2kSOSP.log:<:NUM:>+<:NUM:>
43,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,23,Input split: hdfs://<:IP:>:<:NUM:>/pjhe/logs/2kSOSP.log:<:NUM:>+<:NUM:>
44,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,23,Input split: hdfs://<:IP:>:<:NUM:>/pjhe/logs/2kSOSP.log:<:NUM:>+<:NUM:>
45,Started reading broadcast variable 8,18,Started reading broadcast variable <:NUM:>
46,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
47,Reading broadcast variable 8 took 19 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
48,"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
49,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",24,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id"
50,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",25,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id"
51,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",26,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap"
52,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",27,"mapred.job.id is deprecated. Instead, use mapreduce.job.id"
53,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",28,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
54,Started reading broadcast variable 0,18,Started reading broadcast variable <:NUM:>
55,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
56,Reading broadcast variable 0 took 21 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
57,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
58,Started reading broadcast variable 4,18,Started reading broadcast variable <:NUM:>
59,"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
60,Reading broadcast variable 4 took 18 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
61,"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
62,Started reading broadcast variable 3,18,Started reading broadcast variable <:NUM:>
63,"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
64,Reading broadcast variable 3 took 17 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
65,"Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
66,Started reading broadcast variable 1,18,Started reading broadcast variable <:NUM:>
67,"Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
68,Reading broadcast variable 1 took 16 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
69,"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
70,Started reading broadcast variable 2,18,Started reading broadcast variable <:NUM:>
71,"Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 319.0 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
72,Reading broadcast variable 2 took 16 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
73,"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
74,"Times: total = 1072, boot = 856, init = 210, finish = 6",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
75,"Times: total = 1114, boot = 885, init = 223, finish = 6",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
76,"Times: total = 1074, boot = 869, init = 199, finish = 6",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
77,"Times: total = 1078, boot = 851, init = 219, finish = 8",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
78,"Times: total = 1077, boot = 865, init = 206, finish = 6",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
79,"Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
80,"Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
81,"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
82,"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
83,"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
84,"Times: total = 38, boot = 11, init = 27, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
85,"Times: total = 42, boot = 12, init = 30, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
86,"Times: total = 41, boot = 15, init = 26, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
87,"Times: total = 40, boot = 7, init = 33, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
88,"Times: total = 42, boot = 13, init = 28, finish = 1",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
89,Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
90,Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
91,Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
92,Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
93,Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
94,Got assigned task 42,16,Got assigned task <:NUM:>
95,Running task 0.0 in stage 1.0 (TID 42),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
96,Got assigned task 56,16,Got assigned task <:NUM:>
97,Running task 1.0 in stage 1.0 (TID 56),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
98,Got assigned task 69,16,Got assigned task <:NUM:>
99,Started reading broadcast variable 10,18,Started reading broadcast variable <:NUM:>
100,Running task 2.0 in stage 1.0 (TID 69),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
101,Got assigned task 78,16,Got assigned task <:NUM:>
102,Running task 3.0 in stage 1.0 (TID 78),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
103,Got assigned task 79,16,Got assigned task <:NUM:>
104,Running task 4.0 in stage 1.0 (TID 79),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
105,"Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
106,Reading broadcast variable 10 took 17 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
107,"Block broadcast_10 stored as values in memory (estimated size 9.6 KB, free 339.2 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
108,Found block rdd_2_0 locally,31,Found block rdd <:NUM:> <:NUM:> locally
109,Found block rdd_2_3 locally,31,Found block rdd <:NUM:> <:NUM:> locally
110,Found block rdd_2_4 locally,31,Found block rdd <:NUM:> <:NUM:> locally
111,Found block rdd_2_2 locally,31,Found block rdd <:NUM:> <:NUM:> locally
112,Found block rdd_2_1 locally,31,Found block rdd <:NUM:> <:NUM:> locally
113,"Times: total = 42, boot = -4131, init = 4172, finish = 1",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
114,"Times: total = 41, boot = -4122, init = 4162, finish = 1",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
115,"Times: total = 42, boot = -4121, init = 4162, finish = 1",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
116,"Times: total = 42, boot = -4138, init = 4179, finish = 1",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
117,"Times: total = 42, boot = -4134, init = 4175, finish = 1",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
118,Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
119,Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
120,Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
121,Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
122,Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
123,Got assigned task 87,16,Got assigned task <:NUM:>
124,Running task 0.0 in stage 2.0 (TID 87),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
125,Got assigned task 101,16,Got assigned task <:NUM:>
126,Running task 1.0 in stage 2.0 (TID 101),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
127,Got assigned task 112,16,Got assigned task <:NUM:>
128,Running task 2.0 in stage 2.0 (TID 112),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
129,Got assigned task 118,16,Got assigned task <:NUM:>
130,Running task 3.0 in stage 2.0 (TID 118),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
131,Started reading broadcast variable 11,18,Started reading broadcast variable <:NUM:>
132,Got assigned task 119,16,Got assigned task <:NUM:>
133,Running task 4.0 in stage 2.0 (TID 119),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
134,"Block broadcast_11_piece0 stored as bytes in memory (estimated size 5.4 KB, free 344.7 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
135,Reading broadcast variable 11 took 15 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
136,"Block broadcast_11 stored as values in memory (estimated size 9.2 KB, free 353.9 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
137,Found block rdd_2_4 locally,31,Found block rdd <:NUM:> <:NUM:> locally
138,Found block rdd_2_3 locally,31,Found block rdd <:NUM:> <:NUM:> locally
139,Found block rdd_2_2 locally,31,Found block rdd <:NUM:> <:NUM:> locally
140,Found block rdd_2_0 locally,31,Found block rdd <:NUM:> <:NUM:> locally
141,Found block rdd_2_1 locally,31,Found block rdd <:NUM:> <:NUM:> locally
142,"Times: total = 39, boot = -147, init = 186, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
143,"Times: total = 39, boot = -147, init = 186, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
144,"Times: total = 41, boot = -139, init = 179, finish = 1",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
145,"Times: total = 38, boot = -156, init = 194, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
146,"Times: total = 39, boot = -159, init = 198, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
147,Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
148,Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
149,Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
150,Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
151,Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
152,Got assigned task 122,16,Got assigned task <:NUM:>
153,Running task 0.0 in stage 3.0 (TID 122),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
154,Got assigned task 136,16,Got assigned task <:NUM:>
155,Running task 1.0 in stage 3.0 (TID 136),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
156,Got assigned task 150,16,Got assigned task <:NUM:>
157,Running task 2.0 in stage 3.0 (TID 150),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
158,Got assigned task 158,16,Got assigned task <:NUM:>
159,Running task 3.0 in stage 3.0 (TID 158),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
160,Started reading broadcast variable 12,18,Started reading broadcast variable <:NUM:>
161,Got assigned task 159,16,Got assigned task <:NUM:>
162,Running task 4.0 in stage 3.0 (TID 159),17,Running task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>)
163,"Block broadcast_12_piece0 stored as bytes in memory (estimated size 5.6 KB, free 359.4 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
164,Reading broadcast variable 12 took 30 ms,20,Reading broadcast variable <:NUM:> took <:NUM:> ms
165,"Block broadcast_12 stored as values in memory (estimated size 9.8 KB, free 369.3 KB)",21,Block broadcast <:NUM:> stored as values in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
166,"Partition rdd_6_4 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
167,"Partition rdd_6_3 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
168,"Partition rdd_6_0 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
169,"Partition rdd_6_1 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
170,"Partition rdd_6_2 not found, computing it",22,"Partition rdd <:NUM:> <:NUM:> not found, computing it"
171,Found block rdd_2_4 locally,31,Found block rdd <:NUM:> <:NUM:> locally
172,Found block rdd_2_3 locally,31,Found block rdd <:NUM:> <:NUM:> locally
173,Found block rdd_2_1 locally,31,Found block rdd <:NUM:> <:NUM:> locally
174,Found block rdd_2_0 locally,31,Found block rdd <:NUM:> <:NUM:> locally
175,Found block rdd_2_2 locally,31,Found block rdd <:NUM:> <:NUM:> locally
176,"Times: total = 38, boot = -170, init = 208, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
177,"Times: total = 41, boot = -171, init = 212, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
178,"Times: total = 41, boot = -160, init = 200, finish = 1",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
179,"Times: total = 38, boot = -172, init = 210, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
180,"Times: total = 40, boot = -173, init = 213, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
181,"Block rdd_6_4 stored as bytes in memory (estimated size 287.0 B, free 369.5 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
182,"Block rdd_6_3 stored as bytes in memory (estimated size 344.0 B, free 369.9 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
183,"Block rdd_6_1 stored as bytes in memory (estimated size 330.0 B, free 370.2 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
184,"Block rdd_6_2 stored as bytes in memory (estimated size 252.0 B, free 370.4 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
185,"Block rdd_6_0 stored as bytes in memory (estimated size 265.0 B, free 370.7 KB)",19,Block <:*:> <:NUM:> <:*:> stored as bytes in memory (estimated size <:NUM:>.<:NUM:> <:*:> free <:NUM:>.<:NUM:> KB)
186,"Times: total = 38, boot = 14, init = 24, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
187,"Times: total = 38, boot = 12, init = 26, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
188,"Times: total = 41, boot = 19, init = 22, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
189,Finished task 4.0 in stage 3.0 (TID 159). 2667 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
190,"Times: total = 41, boot = 16, init = 25, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
191,Finished task 3.0 in stage 3.0 (TID 158). 2667 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
192,"Times: total = 40, boot = 5, init = 35, finish = 0",29,"Times: total = <:NUM:>, boot = <:NUM:>, init = <:NUM:>, finish = <:NUM:>"
193,Finished task 1.0 in stage 3.0 (TID 136). 2667 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
194,Finished task 2.0 in stage 3.0 (TID 150). 2667 bytes result sent to driver,30,Finished task <:NUM:>.<:NUM:> in stage <:NUM:>.<:NUM:> (TID <:NUM:>). <:NUM:> bytes result sent to driver
